hole_id;depth_from;depth_to;quality_code100;quality_code110;samp_id
LBU_05_03;45;46;4;4;
LBU_05_03;46;47;4;4;
LBU_05_03;47;48;4;4;
LBU_05_03;48;49;4;4;
LBU_05_03;49;50;4;4;
LBU_05_04;2;3;1;1;
LBU_05_04;3;4;1;1;
LBU_05_04;4;5;2;2;
LBU_05_04;5;6;2;2;
LBU_05_04;6;7;2;2;
LBU_05_04;7;8;2;2;
LBU_05_04;8;9;2;2;
LBU_05_04;9;10;2;2;
LBU_05_04;10;11;2;2;
LBU_05_04;11;12;2;2;
LBU_05_04;12;13;2;2;
LBU_05_04;13;14;2;2;
LBU_05_04;14;15;2;2;
LBU_05_04;15;16;2;2;
LBU_05_04;16;17;2;2;
LBU_05_04;17;18;3.1;3.1;
LBU_05_04;18;19;3.2;3.2;
LBU_05_04;19;20;3.2;3.2;
LBU_05_04;20;21;3.3;3.2;
LBU_05_04;21;22;3.3;3.2;
LBU_05_04;22;23;3.3;3.3;
LBU_05_04;23;24;3.3;3.3;
LBU_05_04;24;25;3.3;3.3;
LBU_05_04;25;26;3.3;3.3;
LBU_05_04;26;27;3.3;3.3;
LBU_05_04;27;28;3.3;3.3;
LBU_05_04;28;29;3.3;3.3;
LBU_05_04;29;30;4;4;
LBU_05_04;30;31;4;4;
LBU_05_04;31;32;4;4;
LBU_05_04;32;33;4;4;
LBU_05_04;33;34;5;5;
LBU_05_04;34;35;5;5;
LBU_05_04;35;36;5;5;
LBU_05_04;36;37;5;5;
LBU_05_04;37;38;5;5;
LBU_05_04;38;39;5;5;
LBU_05_04;39;40;5;5;
LBU_05_04;40;41;5;5;
LBU_05_04;41;42;5;5;
LBU_05_04;42;43;5;5;
LBU_05_04;43;44;5;5;
LBU_05_04;44;45;5;5;
LBU_05_04;45;46;5;5;
LBU_05_04;46;47;5;5;
LBU_05_04;47;48;5;5;
LBU_05_04;48;49;5;5;
LBU_05_04;49;50;5;5;
LBU_05_05;2;3;1;1;
LBU_05_05;3;4;1;1;
LBU_05_05;4;5;1;1;
LBU_05_05;5;6;1;1;
LBU_05_05;6;7;1;1;
LBU_05_05;7;8;1;1;
LBU_05_05;8;9;2;2;
LBU_05_05;9;10;2;2;
LBU_05_05;10;11;2;2;
LBU_05_05;11;12;2;2;
LBU_05_05;12;13;2;2;
LBU_05_05;13;14;2;2;
LBU_05_05;14;15;2;2;
LBU_05_05;15;16;3.1;3.1;
LBU_05_05;16;17;3.1;3.1;
LBU_05_05;17;18;3.1;3.1;
LBU_05_05;18;19;3.1;3.1;
LBU_05_05;19;20;3.2;3.2;
LBU_05_05;20;21;3.2;3.2;
LBU_05_05;21;22;3.3;3.2;
LBU_05_05;22;23;3.3;3.2;
LBU_05_05;23;24;3.3;3.2;
LBU_05_05;24;25;3.3;3.2;
LBU_05_05;25;26;3.3;3.25;
LBU_05_05;26;27;3.3;3.3;
LBU_05_05;27;28;3.3;3.3;
LBU_05_05;28;29;3.3;3.3;
LBU_05_05;29;30;3.3;3.3;
LBU_05_05;30;31;5;5;
LBU_05_05;31;32;5;5;
LBU_05_05;32;33;5;5;
LBU_05_05;33;34;5;5;
LBU_05_05;34;35;5;5;
LBU_05_05;35;36;5;5;
LBU_05_05;36;37;5;5;
LBU_05_05;37;38;5;5;
LBU_05_05;38;39;5;5;
