"x","y","z","max_depth","hole_path","year","hole_id"
238884.51,185543.34,74.63,25,"LINEAR",1996,"BRG_96_06"
238450.74,185362.97,92.06,45,"LINEAR",1996,"BRG_96_BE04"
238364.26,185164.32,89.86,47,"LINEAR",1996,"BRG_96_BE05"
238666.25,185355.96,81.81,37,"LINEAR",1997,"BRG_97_01"
238751.27,185305.78,78.04,29,"LINEAR",1997,"BRG_97_02"
238846.5,185272.11,74.96,29,"LINEAR",1997,"BRG_97_03"
238804.57,185182.54,78,29,"LINEAR",1997,"BRG_97_04"
238656.09,184745.95,71.3,25,"LINEAR",1997,"BRG_97_05"
238312.31,183957.54,90.69,52,"LINEAR",2009,"ECO_09_01"
238160.23,184143.97,88.09,35,"LINEAR",2009,"ECO_09_02"
238319.98,184114.68,90.01,35,"LINEAR",2009,"ECO_09_03"
238479.24,184089.71,88.1,35,"LINEAR",2009,"ECO_09_04"
238192.09,184361.58,89.59,52,"LINEAR",2009,"ECO_09_05"
