hole_id,max_depth,lat,lon,elevation,year
201,42.5,50.97093885780896,5.631153519293749,91.5,1977
677_2,39.0,50.973657496938955,5.633510931941036,88.98,1977
877_3,48.0,50.97348877852206,5.63096723484079,89.83,1977
877_4,43.0,50.971357031917606,5.6297185791031055,91.26,1977
977_6,45.0,50.972530434370256,5.633949523734206,91.26,1977
B11_90_1,30.0,50.97306448712785,5.635239634526016,69.5,1990
B11_90_2,32.0,50.9732854204712,5.6341761047443475,71.8,1990
B11_90_3,32.0,50.97342622404722,5.633556801257509,73.5,1990
B11_90_4,25.0,50.97281937993191,5.635843006274926,65.4,1990
B34,43.5,50.966484273498764,5.628366273535859,91.5,1984
B35,37.1,50.96297727501941,5.630208774902824,91.6,1984
B83,46.5,50.964926850432214,5.627187879864249,91.5,1976
B85,40.0,50.96494984111801,5.630675902677663,90.5,1976
B86,40.0,50.96431863739313,5.624519007014627,85.0,1976
B92_1,31.0,50.96904953944403,5.632200760383418,76.72,1992
B92_2,29.0,50.96994952036744,5.631083139852411,76.07,1992
B92_3,30.0,50.96920914687355,5.63328401705169,65.68,1992
B92_4,25.0,50.970438337823694,5.63334653791277,76.7,1992
B94_6_B1,18.1,50.973912943311205,5.63392521945111,72.34,1994
BL92_1,29.0,50.96840043307271,5.6310311356795655,75.97,1992
BRG_00_01,28.0,50.97054922865256,5.630098349662366,71.76,2000
BRG_00_02,27.0,50.970105212427555,5.629779130495329,72.08,2000
BRG_01_01,30.0,50.9687922615672,5.629596559492545,72.51,2001
BRG_01_02,28.0,50.96798291674513,5.628913721255458,74.46,2001
BRG_01_03,32.0,50.967164632039065,5.628066510217265,76.47,2001
BRG_01_04,33.0,50.96635908170305,5.628571906608131,77.46,2001
BRG_01_05,30.0,50.96574916614972,5.6282215039703765,75.31,2001
BRG_01_06,30.0,50.96613482916526,5.629580687297159,74.61,2001
BRG_01_07,31.0,50.96544421179512,5.629185818039464,75.67,2001
BRG_01_08,21.0,50.96586665767273,5.630818913359506,66.39,2001
BRG_01_09,27.0,50.96513679494131,5.630286583334467,72.16,2001
BRG_05_01,36.0,50.96562535521624,5.626444265503253,72.94,2005
BRG_05_02,37.0,50.96440023293022,5.627235374632475,75.39,2005
BRG_05_03,35.0,50.96439676953501,5.628967004596923,71.52,2005
BRG_05_04,35.0,50.96402757383577,5.62991033732036,72.15,2005
BRG_05_05,47.0,50.967868900102,5.6331487372262465,78.92,2005
BRG_05_06,25.0,50.97568356811896,5.644267953975148,61.05,2005
BRG_05_07,25.0,50.97465244938708,5.647446206196545,60.0,2005
BRG_05_08,22.0,50.9750830329015,5.650832790445818,60.0,2005
BRG_05_09,62.0,50.96812007318608,5.627147536823257,92.01,2005
BRG_05_10,58.0,50.969387798857504,5.62576919383252,91.69,2005
BRG_05_11,62.0,50.9709051451367,5.6268797972043885,91.99,2005
BRG_05_12,48.0,50.969478843357656,5.629521357704208,76.35,2005
BRG_05_13,47.0,50.966611186668054,5.633355533764269,78.2,2005
BRG_05_14,42.0,50.96444553687174,5.625229107412861,75.0,2005
BRG_05_15,38.0,50.96384613818812,5.629099108153656,74.14,2005
BRG_08_01,29.0,50.971645911459866,5.627469814162578,76.98,2008
BRG_11_01,15.0,50.97459139398318,5.642291081349964,54.35,2011
BRG_11_02,17.0,50.9733680742164,5.643196320544507,53.25,2011
BRG_11_03,14.0,50.974251381283665,5.644644310385685,51.9,2011
BRG_11_04,20.0,50.975509142218634,5.643697879310702,59.83,2011
BRG_11_05,20.0,50.97540111593998,5.64472134686754,60.4,2011
BRG_11_06,20.0,50.975570230313416,5.647069274876277,59.66,2011
BRG_11_07,20.0,50.97434331761998,5.64708704510639,60.42,2011
BRG_11_08,20.0,50.97467836203325,5.64934263826785,59.19,2011
BRG_13_01,28.0,50.96743469385173,5.634240271234505,66.47,2013
BRG_13_02,28.0,50.966145907091814,5.631863176591358,65.01,2013
BRG_16_01,50.0,50.965049837946744,5.620937880200395,89.67,2016
BRG_16_02,50.0,50.96572400709537,5.622025945348582,86.66,2016
BRG_16_03,50.0,50.96729390724703,5.622090734693661,91.52,2016
BRG_16_04A,30.0,50.96656322851057,5.624090002463597,91.78,2016
BRG_16_04B,30.0,50.965595118407194,5.624522907143709,73.29,2016
BRG_16_05,50.0,50.968130040942846,5.622928923803798,92.17,2016
BRG_16_06,18.0,50.97040931908758,5.626621008961447,65.91,2016
BRG_16_07,18.0,50.96950109104346,5.626615978774322,66.3,2016
BRG_16_08,18.0,50.96862077602692,5.626640458708669,65.6,2016
BRG_16_09,18.0,50.96757544209368,5.626249613616183,68.9,2016
BRG_93_1,42.0,50.96890156181927,5.627544840868163,91.12,1993
BRG_93_2,39.0,50.96705427328833,5.625594943841416,91.12,1993
BRG_93_3,25.0,50.96485727854063,5.6324200986431645,85.39,1993
BRG_93_4,46.0,50.96705297652411,5.63395574714416,91.79,1993
BRG_93_4A,43.0,50.96677804586479,5.634899365484231,91.55,1993
BRG_93_6,45.0,50.965579322413646,5.634086781457837,90.97,1993
BRG_93_7,38.0,50.96611606680673,5.632347283900334,89.51,1993
BRG_93_8,43.0,50.96996383813364,5.623899383083582,91.0,1993
BRG_96_02,44.0,50.97337484787094,5.632432937296706,79.22,1996
BRG_96_03,35.0,50.97221337813303,5.6318331810322,79.91,1996
BRG_96_04,45.0,50.97291981311453,5.6296756526873315,91.03,1996
BRG_96_05,45.0,50.97108610453827,5.628240162938968,92.46,1996
BRG_96_06,25.0,50.973867649246934,5.633021790274313,74.63,1996
