hole_id;depth_from;depth_to;geol_code100
BRG_05_10;29;41;IZ
BRG_05_10;41;50;GZ
BRG_05_11;16;29;TZ
BRG_05_11;29;33;BC
BRG_05_11;33;41;IZ
BRG_05_11;41;62;GZ
BRG_05_12;7;14;TZ
BRG_05_12;14;27;IZ
BRG_05_12;27;39;GZ
BRG_05_13;4;14;TZ
BRG_05_13;14;33;IZ
BRG_05_13;33;40;GZ
BRG_05_14;6;11;TZ
BRG_05_14;11;29;IZ
BRG_05_14;29;37;GZ
BRG_05_15;2;13;TZ
BRG_05_15;13;14;BC
BRG_05_15;14;23;IZ
BRG_05_15;23;38;GZ
BRG_08_01;2;16;TZ
BRG_08_01;16;18;BC
BRG_08_01;18;26;IZ
BRG_08_01;26;29;GZ
BRG_13_01;0;21;IZ
BRG_13_02;0;21;IZ
BRG_16_01;0;2;OVB
BRG_16_01;2;9;GR
BRG_16_01;9;18;TZ
BRG_16_01;18;41;IZ
BRG_16_01;41;50;GZ
BRG_16_02;0;11;GR
BRG_16_02;11;30;TZ
BRG_16_02;30;33;IZ
BRG_16_02;33;50;GZ
BRG_16_03;0;20;GR
BRG_16_03;20;26;TZ
BRG_16_03;26;41;IZ
BRG_16_03;41;50;GZ
BRG_16_04A;0;20;GR
BRG_16_04A;20;27;TZ
BRG_16_04A;27;30;IZ
BRG_16_04B;0;5;TZ
BRG_16_04B;5;28;IZ
BRG_16_04B;28;30;GZ
BRG_16_05;0;3;OVB
BRG_16_05;3;21;GR
BRG_16_05;21;29;TZ
BRG_16_05;29;41;IZ
BRG_16_05;41;50;GZ
BRG_16_06;0;5;TZ
BRG_16_06;5;7;BC
BRG_16_06;7;16;IZ
BRG_16_06;16;17;GZ
BRG_16_07;0;4;TZ
BRG_16_07;4;17;IZ
BRG_16_08;0;18;IZ
BRG_16_09;0;8;TZ
BRG_16_09;8;11;BC
BRG_16_09;11;18;IZ
BRG_93_1;16;29;TZ
BRG_93_1;29;29.5;BC
BRG_93_1;29.5;42;IZ
BRG_93_2;23;28;TZ
BRG_93_2;28;30;BC
BRG_93_2;30;39;IZ
BRG_93_3;13;25;TZ
BRG_93_4;19;28;TZ
BRG_93_4;28;29;BC
BRG_93_4;29;46;IZ
BRG_93_4A;17;27;TZ
BRG_93_4A;27;28;BC
BRG_93_4A;28;43;IZ
BRG_93_6;18;31;TZ
BRG_93_6;31;35;BC
BRG_93_6;35;45;IZ
BRG_93_7;17;26.5;TZ
BRG_93_7;26.5;27;BC
BRG_93_7;27;38;IZ
BRG_93_8;19;29;TZ
BRG_93_8;29;30;BC
BRG_93_8;30;43;IZ
BRG_96_02;14;20;TZ
BRG_96_02;20;21;BC
BRG_96_02;21;26;IZ
BRG_96_02;26;35;GZ
BRG_96_03;13;19;TZ
BRG_96_03;19;23;BC
BRG_96_03;23;29;IZ
BRG_96_03;29;35;GZ
BRG_96_04;18;27;TZ
BRG_96_04;27;32;BC
BRG_96_04;32;45;IZ
BRG_96_05;21;34;TZ
BRG_96_05;34;43;IZ
BRG_96_06;3;11;TZ
BRG_96_06;11;13;BC
BRG_96_06;13;21;IZ
BRG_96_06;21;25;GZ
BRG_96_E04;16;27;TZ
BRG_96_E04;27;35;BC
BRG_96_E04;35;45;IZ
BRG_96_E05;15;29;TZ
BRG_96_E05;29;35;BC
BRG_96_E05;35;45;IZ
BRG_97_01;4;20;TZ
BRG_97_01;20;31;IZ
BRG_97_01;31;35;GZ
BRG_97_02;1;17;TZ
BRG_97_02;17;29;IZ
BRG_97_03;3;13;TZ
BRG_97_03;13;29;IZ
BRG_97_04;2;17;TZ
BRG_97_04;17;29;IZ
BRG_97_05;0;7;TZ
BRG_97_05;7;25;IZ
ECO_09_01;15;23;TZ
ECO_09_01;23;26;BC
ECO_09_01;26;36;IZ
ECO_09_01;36;38;GZ
ECO_09_02;15;22;TZ
ECO_09_02;22;24;BC
ECO_09_02;24;34;IZ
ECO_09_02;34;35;GZ
ECO_09_03;15;25;TZ
ECO_09_03;25;35;IZ
ECO_09_04;15;22;TZ
ECO_09_04;22;25;BC
ECO_09_04;25;32;IZ
ECO_09_04;32;35;GZ
ECO_09_05;15;18;TZ
ECO_09_05;18;38;IZ
ECO_09_05;38;43;GZ
